codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
aiuy,只因,zy,zhī yīn ,, only because,," F.seulement, à cause de  ",
aiwi,瞧见,qj,qiáo jiàn ,, see  ; catch sight of,, F.apercevoir ; remarquer,
aiwt,贝壳,bk,bèi ké ,, shell,, F.coquillage ; coquille,
aix,贤,x,xián ,, Virtuous,, F.Vertueux,
aixl,只要,zy,zhī yào ,, as long as        ,," F.il suffit de, il suffit que",
aiy,贤人,xr,xián rén ,, a person of virtue ; worthy,, F.digne,
aiy,異,y,yì ,," ease, escape, flee, leisure ",, F.loisir ; repos ; confort ; éminent ; s'enfuir ; perdu,
aiy,員,y,yuán ,, member,, F.Membres,
aiye,颐养天年   ,yytn,yí yǎng tiān nián    ,, take care of one's allotted span,, F.entretenir ; nourrir  ,
aiyi,只是,zs,zhī shì ,,"  only ; just ; simply, but ; only",," F.seulement, mais, cependant ; simplement",
aiz,只,z,zhī ,,"(for one of a pair ; for some animals, etc. )        ",," F.seulement, ne. . . que",
aizl,贯通,gt,guàn tōng ,, have a thorough knowledge of ; be well versed in ; link up ; thread together ,, F.communiquer avec ; pénétrer ; connaître à fond ; s'y connaître ; relier ; joindre,
aizq,频道,pd,pín dào ,, frrequency channel,, F.bande de fréquence ; chaîne,
aizt,贤达,xd,xián dá ,, prominent personage ; worthy,, F.éminent ; sage ; personnalité,
aj,八,八, ハチ、や、や-つ、やっ-つ、（よう）,, eight,, F.huit,
ajde,负荆请罪,fjqv,fù jīng qǐng zuì ,, profer a birch and ask for a flogging ; offer a humble apology,, F.demander pardon ; faire amende honorable,
aji,真划算,zhu,zhēn huá suàn ,, True cost,, F.véritable coût,
ajj,镇静剂  ,zjj,zhèn jìng jì   ,, sedative ; tranquilizer ; palliative,, F.calmant ; sédatif,
ajjjb,只好等等看喽,zhddk,zhī hǎo děng děng kàn lou ,whtwa,We had to wait and see myself,ndaad, F.Nous devons attendre avant de voir ce qui va se passer,
ajjv,填字游戏,tvyx,tián zì yóu xì ,, cross-world puzzle,, F.mot croisé,
ajk,真碍眼,zay,zhēn ài yǎn ,, Real eyesore,, F.horreur réel,
ajmi,兴利除弊,xlcb,xìng lì chú bì ,, promote what is beneficial and abolish what is harmful,, F.promouvoir le bien public et supprimer les abus,
ajmrh,真拿你没办法,znnmb,zhēn ná nǐ méi bàn fǎ ,ycnrg,You can not really get,vnppv, F.Vous ne pouvez pas vraiment,
ajn,费时间,fsj,fèi shí jiān ,, Time-consuming,, F.temps,
ajo,领事馆,lsg,lǐng shì guǎn ,," accept (kindness, etc. ) ; receive",, F.accepter ; recevoir,
ajqb,颠倒黑白,ddhb,diān dǎo hēi bái ,,  confound black and white ; confuse right and wrong ; stand facts on their heads,, F.confondre le noir et le blanc ; présenter les choses à l'envers,
ajt,顺时针,ssz,shùn shí zhēn ,, clockwise,, F.dans le sens des aiguilles d'une montre,
ajwy,贪得无厌,tdwy,tān dé wú yàn ,, be insatiably avaricious,, F.avidité insatiable,
ajy,领导人,ldr,lǐng dǎo rén ,, director,, F.directeur,
ajyj,真才实学  ,zisx,zhēn cái shí xué   ,, real ability and learning ; genuine talent,, F.talent véritable,
aken,顺水推舟,sstz,shùn shuǐ tuī zhōu ,,  push the boat align with the current ;  make use of an opportunity to gain one's end,, F.faire avancer le bateau au fil de l'eau ; profiter de circonstances favorables pour pousser une affaire ; agir en profitant de l'occasion,
alai,职员,zy,zhí yuán ,, staff member        ,, F.employé ; préposé,
alaq,预赛     ,yu,yù sài      ,, preliminary contest,, F.match préparatoire ; compétition préliminaire,
alaq,预演 ,yy,yù yǎn  ,, preview,, F.avant-première,
alat,职责 ,zv,zhí zé  ,, duty ; obligation ; responsibility,, F.devoir ; obligation ; responsabilité,
alb,项目,xm,xiàng mù ,, item,, F.article ; point ; numéro ; projet,
albq,颈部,jb,jǐng bù ,, neck,, F.cou,
albt,顶替,dt,dǐng tì ,, take sb.'s place ; replace,, F.se substituer à ; remplacer,
alcl,职能,zn,zhí néng ,, function,, F.fonction,
aldi,顶嘴,dv,dǐng zuǐ ,, reply defiantly ; answer back ; talk back,, F.contredire ; répliquer (à un supérieur),
aldt,预期  ,yq,yù qī   ,," anticipate, expect",, F.s'attendre à ; escompter,
aleg,顶住,dz,dǐng zhù ,, withstand ; hold out against ; stand up to,, F.résister à ; tenir bon ; tenir tête,
aleg,顾全,gq,gù quán ,, show consideration for and take care to preserve,, F.prendre soin de ; tenir compte de ; prendre en considération,
alei,顶峰,df,dǐng fēng ,, peak ; summit ; pinnacle,, F.sommet ; cime ; faîte ; apogée ; comble,
alei,陨星 ,yx,yǔn xīng  ,, meteorite,, F.météore ; météorite,
alel,顶班,db,dǐng bān ,, work on regular shifts ; work full time,, F.travailler à temps plein,
aleq,顾主,gz,gù zhǔ ,, customer ; client ; patron,, F.client ; acheteur,
alet,颈椎,jz,jǐng zhuī ,, cervical vertebra,, F.vertèbre cervicale,
alf,硕士,ss,shuò shì ,, master,, F.titulaire de la maîtrise,
alf,职工  ,zg,zhí gōng   ,, staff and workers ; workers and staff members,, F.employés et ouvriers ; salariés ; travailleurs,
alfq,顽童,wt,wán tóng ,, naughty child ; urchin,, F.enfant espiègle ; gamin ; petit diable,
alft,顶撞,dz,dǐng zhuàng ,, contradict (one's elder or superior),, F.contredire ou répondre à un supérieur ; donner de la tête contre ; offenser ; vexer ; heurter ; répliquer ; objecter ; rétorquer,
algg,顶多,dd,dǐng duō ,, at (the most) ; at best,, F.tout au plus ; au maximum,
algi,顾虑,gl,gù lǜ ,, misgiving ; apprehension ; worry,, F.se préoccuper ; inquiétude ; crainte ; appréhension ; souci ; hésitation,
algj,険,保险, ケン、けわ-しい,, insurance ; safe ; be sure ; be bound to,, F.assurance ; assurer ; sûr ; sûrement,
algj,験,经验, ケン、（ゲン）,, experience       ,, F.expérience ; connaissances acquises ; expérimental,
algl,顾忌,gj,gù jì ,, scruple ; misgiving,, F.craindre de ; scrupule,
algt,预感,yg,yù gǎn ,,  have a premonition,, F.pressentir ; pressentiment,
algt,预想  ,yx,yù xiǎng   ,, anticipate ; expect,, F.anticiper ; prévoir ; escompter,
alhg,职务   ,zw,zhí wù    ,, post ; duties ; job,, F.poste ; charge ; fonction ; tache ; office ; devoir,
alhl,预防,yf,yù fáng ,, prevent ; take precautions against ; guard against,, F.se prémunir contre ; prévenir,
alhq,预习   ,yx,yù xí    ,, prepare lessons before class,, F.préparer une leçon avant la classe ,
alig,预算  ,yu,yù suàn   ,, budget,, F.budget ; calculer d'avance ; établir un devis,
aliz,职,z,zhí ,, duty ; job,, F.devoir ; fonction ; attributions ; charge ; poste,
alj,貢,贡献, コウ、（ク）、みつ-ぐ,, contribute ; dedicate ; devote ; contribution,, F.offrir ; consacrer ; contribuer ; contribution,
alj,賢,贤,ケン、かしこ-い,, Virtuous,, F.Vertueux,
aljg,预付   ,yf,yù fù    ,, payment in advance,, F.payer d'avance ; avancer,
aljg,预制  ,yz,yù zhì   ,, prefabricate,, F.préfabriquer,
aljg,职衔   ,zx,zhí xián    ,, post and rank,, F.titre ; grade ,
aljq,顷刻,qk,qǐng kè ,, instantly,, F.Immédiatement,
aljq,预订,yd,yù dìng ,," book, reserve, subscribe for, advance booking",, F.s'abonner à ; souscrire à ; louer ; retenir,
aljq,职守 ,zs,zhí shǒu  ,, post ; duty,, F.poste ; fonctions,
aljt,琐事,us,suǒ shì ,, trifles ; trivial matters,, F.bagatelle ; peu de chose,
alju,颠三倒四,dudu,diān sān dǎo sì ,, incoherent ; disorderly ; confuse,, F.(mettre une chose) sens dessus dessous ; à tort et à travers,
alki,预展 ,yz,yù zhǎn  ,, preview,, F.vernissage ; exposition expérimentale,
alkx,横征暴敛,hzbl,héng zhēng bào liǎn ,, extort excessive taxes and levies,, F.imposer des charges exorbitantes ; écraser d'impôts,
alld,顶,d,dǐng ,, rown ; peak ; top,, F.sommet ; cime ; haut de ; porter sur la tête ; soulever,
alld,頂,d,dǐng ,, rown ; peak ; top,, F.sommet ; cime ; haut de ; porter sur la tête ; soulever,
allg,职位  ,zw,zhí wèi   ,, position ; post,, F.poste ; rang ; position ; situation ; emploi,
allj,頂,峰会, チョウ、いただ-く、いただき,, Summit,, F.Cime,
allj,頭,头,  トウ、ズ、（ト）、あたま、かしら,, head ; hair ; top ; end remnant ; first (for some animals) ,, F.tête ; premier ; chef,
allj,頑,坚决,ガン,, determined ; firm ,," F.résolu, ferme",
allj,預,预备, ヨ、あず-ける、あず-かる,, prepare        ,, F.préparer ; préparation ; préparatifs ; préparatoire,
allq,顽症,wz,wán zhèng ,, chronic and stubborn disease ; persistent ailment,," F.maladie chronique, opiniatre",
allq,职业,zy,zhí yè ,, profession        ,, F.métier ; profession ,
allt,頭,t,tóu ,, head ; hair ; top ; end remnant ; first (for some animals) ,, F.tête ; premier ; chef,
allx,项,x,xiàng ,, nape (of the neck) ; item ; sum ; term        ,, F.sorte ; nuque,
almg,职称      ,zc,zhí chēng       ,, the title of a technical post,, F.titre de fonction,
alml,预示  ,ys,yù shì   ,, betoken ; indicate ; presage,, F.annoncer ; présager ; être signe de,
almq,预谋  ,ym,yù móu   ,," malice aforethought, premeditate, premeditation",, F.préméditer ; préméditation,
alng,织锦 ,zj,zhī jǐn  ,, brocade ; picture-weaving in silk,, F.brocart,
alni,顾问,gw,gù wèn ,, adviser ; consultant,, F.conseiller,
alnq,顶端,dd,dǐng duān ,, top ; peak ; apex,, F.point culminant ; sommet ; apogée ; bout ; extrémité,
alnt,织布  ,zb,zhī bù   ,, weaving cotton cloth,, F.tisser,
alog,预告  ,yg,yù gào   ,, announce in advance ; herald,, F.avertir ; annoncer ; prévenir,
alog,预估,yg,yù gū ,, Estimated,, F.Estimation,
alog,预售 ,ys,yù shòu  ,, presell,, F.pré-vendre ,
alol,陨石 ,ys,yǔn shí  ,, aerolite ; stony meteorite,, F.météorite ; aérolithe ; bolide,
aloq,顾客,gk,gù kè ,, customer,, F.client ; clientèle,
aloq,预言,yy,yù yán ,," predict, prognostic, foretell",, F.prédire ; prophétiser ; prédiction,
alot,预警  ,yj,yù jǐng   ,, early-warning,, F.première alerte,
alot,陨落  ,yl,yǔn luò   ,, fall from the sky of outer space,, F.tomber de l'espace,
alpg,殒命 ,ym,yǔn mìng  ,, meet one's death ; perish,, F.périr ; mourir ; trouver la mort,
alq,预卜,yb,yù bo ,, augur ; foretell,, F.prédire ; préjuger de,
alqi,顶点,dd,dǐng diǎn ,, apex ; zenith ; acme ; pinnacle ; vertex ; apex,, F.sommet ; point culminant ; faîte ; apogée,
alql,顽强,wq,wán qiáng ,, indomitable ; staunch ; tenacious        ,," F.opiniatre, acharné ; inflexible",
alqq,织补   ,zb,zhī bǔ    ,, darning ; invisible mending,, F.repriser ; stopper,
alrt,顽皮,wp,wán pí ,, mischievous ; naughty,, F.vilain,
alrt,预报,yb,yù bào ,, frorecast        ,, F.avertir d'avance ; avertissement préalable ; prévision,
alrt,预支   ,yz,yù zhī    ,, advance,, F.toucher une avance ; avances,
alrt,职权  ,zq,zhí quán   ,, powers of office ; authority of office,, F.pouvoir ; fonction ; attributions,
alsg,织物   ,zw,zhī wù    ,," fabric, woof, loomage, textile, weave, drapery, web, weft",, F.tissu ; étoffe,
alsi,预购  ,yg,yù gòu   ,, purchase in advance,, F.commander,
alsl,页码  ,ym,yè mǎ   ,, leaf ; sheet,, F.numéro de page ; pagination ; folio,
alsl,预约  ,yy,yù yuē   ,, make an appointment,, F.prendre rendez-vous ; souscrire à,
altg,预科   ,yk,yù kē    ,, preparatory course,, F.cours préparatoire,
altj,績,成就,セキ,, accomplishment,, F.réussir ; heureux ; résultat ou effet; accomplissement ;succès ; réalisation succès ; réalisation,
altl,琐碎,uu,suǒ suì ,, trifling ; trivial,, F.minutieux et ennuyeux ; méticuleux,
altq,预计   ,yj,yù jì    ,, calculate in advance ; estimate,, F.estimer ; envisager,
altq,预料  ,yl,yù liào   ,, expect ; predict ; anticipate,, F.anticiper ; s'attendre à ; prévoir ; se douter de,
altq,预审    ,ys,yù shěn     ,, antecedent trial ; preliminary hearing,, F.audition préliminaire ,
altx,續,x,xù ,, continuous ; successive ; continue ; extend ; join ; add ; supply more,, F.joindre ; suivre,
alug,预备,yb,yù bèi ,, prepare        ,, F.préparer ; préparation ; préparatifs ; préparatoire,
aluq,碘酒,dj,diǎn jiǔ ,, tincture of iodine,, F.teinture d'iode,
aluq,项圈,xq,xiàng quān ,, necklace ; necklet,, F.collier,
aluq,缜密   ,zm,zhěn mì    ,, careful ; meticulous,, F.soigneux ; strict ; minutieux,
alut,顽固,wg,wán gù ,, obstinate; stubborn; headstrong; bitterly opposed to change; die-hard,," F.obstiné, têtu ; entêté",
alwg,预先,yx,yù xiān ,, beforehand        ,," F.d'avance, préalablement ; par avance",
alwi,预见  ,yj,yù jiàn   ,, froresee ; predict,, F.prévoir ; envisager,
alwq,预兆  ,yz,yù zhào   ,, omen ; presage ; sign,, F.présage  ; augure ; signe précurseur ; auspice,
alwq,预祝 ,yz,yù zhù  ,, congratulate beforehd,, F.féliciter avant,
alwt,顶风,df,dǐng fēng ,, against the wind ; head wind,, F.contre le vent ; vent contraire ; avoir le vent debout,
alwt,顽抗,wk,wán kàng ,, stubbornly resist,, F.résister avec obstination ,
alxl,顾及,gj,gù jí ,, take into account ; attend to ; give consideration to,, F.penser à ; tenir compte de ; s'occuper de,
aly,页 ,y,yè  ,, page        ,," F.feuille, page",
aly,翼  ,y,yì   ,, wing,, F.aile ; flanc ; seconder,
alyt,贡献,gx,gòng xiàn ,, contribute ; dedicate ; devote ; contribution,, F.offrir ; consacrer ; contribuer ; contribution,
alzg,项链,xl,xiàng liàn ,, necklace,, F.collier,
alzg,预选  ,yx,yù xuǎn   ,, frorward selection,, F.présélectionner,
alzg,织造   ,zv,zhī zào    ,, weaving,, F.tissage ,
amco,赞不绝口   ,vbjk,zàn bú jué kǒu    ,, full of prise,, F.combler de louanges ; ne cesser de faire des éloges à qn,
ame,顶梁柱,dlz,dǐng liáng zhù ,, pillar,, F.Pilier,
amex,资本主义 ,vbzy,zī běn zhǔ yì  ,, capitalism ,, F.capitalisme,
amk,资本家,vbj,zī běn jiā ,, capitalist,, F.capitaliste,
aml,顾不上,gbs,gù bú shàng ,, have not one's mind to,, F.ne pas avoir la tête à,
amlj,願,愿,ガン、ねが-う,, willing,, F.Prêt,
amlk,供不应求,gbyq,gòng bú yīng qiú ,, supply falls short of demand ; demand exceeds supply,," F.l'offre ne satisfait pas, ne répond pas à la demande",
amly,願,y,yuàn ,," be willing ; would like, wish ; hope ",," F.vœu, vouloir, souhaiter",
ammq,兴味索然,xwur,xìng wèi suǒ rán ,, uninterested ; bored stiff,," F.sans aucun intérêt, fade",
amozm,真不知道你是怎么想的,zbzdn,zhēn bú zhī dào nǐ shì zěn me xiǎng de ,irdnk,I really do not know how you think,jnspv, F.Je ne sais pas vraiment ce que vous pensez,
amva,资不抵債 ,vbdz,zī bú dǐ zhài  ,, unable to pay one's debt with all his assets,, F.ne peut pas payer ses dettes par le propriété ; devenir insolvable,
amz,只不过  ,zbg,zhī bú guò   ,, only ; merely ; just,, F.seulement ; ne que ; simplement ; mais,
anm,共同体,gtt,gòng tóng tǐ ,, community,, F.la Communauté,
anmq,兴高采烈,xgil,xìng gāo cǎi liè ,, in high spirits ; in great delight ; jubilant,, F.au comble de l'enthousiasme ; plein d'entrain ; débordant de joie,
anne,兴师问罪,xswv,xìng shī wèn zuì ,, send a punitive expedition against,, F.faire une expédition punitive,
aoba,横加指责,hjzv,héng jiā zhǐ zé ,, blame unscrupulously,, F.blamer brutalement,
aogx,顾名思义,gmuy,gù míng sī yì ,,  seeing the name of a thing one thinks of its function ;just as its name implies ; as the term suggests ,, F.comme son nom l'indique,
aonw,债台高筑,ztgz,zhài tái gāo zhù ,, be heavily in debt ; be up to one's ears in debt,, F.dettes accumulées ; être criblé de dettes  ,
aoo,费唇舌,fcs,fèi chún shé ,, take a lot of explaining or arguing ; a waste of breath,, F.dépenser sa salive ; exiger de longues explications,
aosx,贪官污吏,tgwl,tān guān wū lì ,, a person guilty of corruption  ; grafter ; embezzler,, F.fonctionnaires cupides et leurs subalternes corrompus et concussionnaires,
aotg,横加干涉,hjgs,héng jiā gàn shè ,, intervene immorally ; flagrantly interfere,, F.intervenir arbitrairement de manière flagrante,
aou,共和国,ghg,gòng hé guó ,,the Summer Palace,, F.le Palais d'été ,
aou,颐和园   ,yhy,yí hé yuán    ,, Summer Palace,, F.Palais d'été,
aoy,真善美  ,zsm,zhēn shàn měi   ,, the true ; the good and the beautiful,, F.le vrai ; le bien et le beau,
aqag,识货,sh,shí huò ,, know all about the goods; be able to tell good from bad; know what' what,, F.s'y connaître ; être connaisseur,
aqag,资质,vz,zī zhì ,, natural endowments ; intelligence,, F.dons naturels ; dispositions naturelles,
aqai,演员,yy,yǎn yuán ,,"  actor, play actor, player, stager, ",, F.acteur ; comédien,
aqaq,赏识,ss,shǎng shí ,, recognize the worth of ; appreciate,, F.apprécier ; estimer à sa juste valeur ; priser,
aqbi,演唱   ,yc,yǎn chàng    ,, sing,, F.interpréter un chant ; chanter,
aqbt,识相,sx,shí xiàng ,, be sensible ; be tactful,, F.connaître ses limites ; avoir du tact ; du savoir-vivre,
aqcg,颜色,yu,yán sè ,, colour ; countenance ; facial expression ; pigment ; dyestuff,, F.couleur ,
aqcg,演化,yh,yǎn huà ,, evolution,, F.évolution,
aqci,赛跑,up,sài pǎo ,, run  race ,, F.course à pied,
aqcq,旗袍,qp,qí páo ,, a close fitting woman's dress with high neck and slit skirt,, F.robe chinoise,
aqct,赏花,sh,shǎng huā ,, admire the beauty of flowers,, F.jouir de la beauté des fleurs,
aqd,赏月,sy,shǎng yuè ,, enjoy the glorious full moon,, F.admirer le clair de la lune,
aqeg,赏金,sj,shǎng jīn ,, money reward ; pecuniary reward,, F.gratification ; récompense pécuniaire ; prime,
